sido,sigungu,safety_center_serve,pollution_emission,aged_single_ratio,police_station_acb,high_trans_acb,high_ic_acb,sports_fac_popratio,perf_fac_popratio,aged_service_popratio,old_house_ratio,green_space_rate,road_pavement_rate,library_service_popratio,hospital_service_popratio,vacant_house_ratio,wg_ph_spentratio,water_supply_rate,cworks_pctg,living_park_popratio,firestation_acb,toddlers_care_popratio,population_growth_rate,childecare_per_infant_number,emergency_fac_popratio,socialwelfare_fac_per_hndrdth_number,park_per_thousand_area,beds_peer_thousand_number,cultural_infra_per_hndrdth_number,fin_indep_3year_mean,parking_popratio,kb_industry_3year_mean,elem_school_popratio,no_bsns_3year_growth_rate,no_emp_3year_growth_rate,sewer_coverage_rate,schoools_per_thousand_number
서울특별시,종로구,0,0,7.19,1.43,6.63,4.94,14.58,99.87,99.83,27.5,46.74,0,64.9,5.78,4.68,0,0,0,65.55,1.86,82.64,0,21.3,0,11.9,6712.73,22.4,44.2,47.71,91.17,0,26.62,0,0,0,3.13
서울특별시,중구,0,0,7.57,0.82,4.15,5.36,37.29,0,0,17.6,0.25,0,85.69,14.96,4.38,37.6,0,0,85.73,1.22,90.77,0,0,0,7.1,11872.5,10.9,21.6,60.25,94.57,0,55.19,0,0,0,4.09
서울특별시,용산구,0,0,6.3,1.63,3.89,4.46,21.09,0,0,29.5,41.04,0,60.59,4.98,6.05,40.3,0,0,59.24,1.87,73.39,0,15.7,0,4.8,2118.95,0,7.8,45.07,79.89,0,26.72,0,0,0,2.02
서울특별시,성동구,0,0,5.81,1.37,5.26,4.05,45.87,0,0,16.9,25.78,0,65.3,16.49,2.78,42.6,0,0,68.38,1.83,88.8,0,14.4,0,0,4463.95,6.1,5.1,34.78,92.59,0,57.07,0,0,0,1.83
서울특별시,광진구,0,0,5.09,1.08,7.05,2.97,10.03,0,0,18.5,30.89,0,85.53,13.32,0.82,44.3,0,0,76.58,1.65,91.16,0,17.7,0,6.8,1722.76,7.5,3.2,32.52,93.08,0,63.17,0,0,0,1.55
서울특별시,동대문구,0,0,6.97,0.96,2.41,5.3,12.41,0,0,0,2.69,0,82.68,26.85,1.95,50.1,0,0,83.81,1.28,96.12,0,17.6,0,9.5,4798.62,16.1,3.5,25.66,94.58,0,65.14,0,0,0,1.8
서울특별시,중랑구,0,0,7.92,1.28,2.75,3.46,19.98,0,0,13.6,39.67,0,81.61,42.29,1.79,49.5,0,0,80.6,1.62,89.23,0,17.3,0,12.8,5105.13,8.2,1.5,25.75,90.9,0,63.53,0,0,0,1.62
서울특별시,성북구,0,0,6.37,1.29,5.98,5.43,11.26,0,0,13.8,26.13,0,81.5,12.17,2.69,47.3,0,0,42.78,1.99,88.2,0,15.8,0,10.2,5241.54,0,5.5,26.12,93.93,0,67.48,0,0,0,1.47
서울특별시,강북구,0,0,9.63,1.38,8.92,7.89,12.97,0,0,17.5,52.4,0,94.71,34.34,2.55,50.8,0,0,77.93,1.77,99.98,0,18.6,0,13.1,4729.97,7.6,3.9,23.73,92.02,0,61.22,0,0,0,1.5
서울특별시,도봉구,0,0,8.34,1.37,11.27,7.88,9.8,0,0,26.3,49.84,0,89.22,16.44,3.04,48.1,0,0,81.34,1.76,99.66,0,21.4,0,18.3,2627.44,7.9,3.4,24.28,98.55,0,59.28,0,0,0,1.71
서울특별시,노원구,0,0,8.69,1.64,8.22,6.7,40.45,99.99,99.84,36.1,59.15,0,62.25,8.47,2.97,54.8,0,0,84.86,2.04,85.97,0,21.6,99.93,8.4,2821.72,6.8,0,22.72,88.1,0,78.77,0,0,0,1.71
서울특별시,은평구,0,0,7.28,1.5,10.42,5.43,0.89,0,0,12.4,46.67,0,89.98,0,2.36,53.8,0,0,87.58,2.29,98.94,0,0,0,0,6687.52,7.9,3.3,24.53,93.34,0,60.32,0,0,0,1.58
서울특별시,서대문구,0,0,6.42,1.12,6.62,2.15,25.85,0,0,17.1,11.1,0,76.03,24.4,2.74,44.9,0,0,72.64,1.54,91.71,0,0,0,0,3780.05,0,4.5,32.43,97.62,0,62.2,0,0,0,1.54
서울특별시,마포구,0,0,5.16,1.15,5.83,2.96,12.57,0,0,14.1,40.03,0,73.93,13.84,4.48,48.5,0,0,81.48,1.38,95.06,0,14.8,0,4.3,7807.45,2.5,3.5,36.9,90.71,0,62.69,0,0,0,1.39
서울특별시,양천구,0,0,6.45,1.65,7.34,2.83,29.91,97.87,97.5,30.5,23.14,0,67.06,20.76,3.16,47.9,0,0,91.35,1.93,91.59,0,19.1,97.87,7.9,3015.51,6.4,2.6,28.39,89.02,0,61.26,0,0,0,1.16
서울특별시,강서구,0,0,6.59,1.75,9.49,3.42,6.2,99.93,99.88,6.3,54.27,0,87.34,38.77,3.82,53.1,0,0,95.7,1.88,97.62,0,17.4,99.93,7.8,4182.71,8.2,2.6,27.36,94.81,0,72.97,0,0,0,1.57
서울특별시,구로구,0,0,5.92,1.38,6.48,2.16,38.73,99.82,0,18.3,25.61,0,83.91,31.16,3.73,49.7,0,0,62.19,1.44,93.33,0,19.9,0,7.6,2336.87,0,3.7,26.76,96.41,0,58.26,0,0,0,1.57
서울특별시,금천구,0,0,6.61,1.58,6.29,3.16,25.62,99.93,99.9,18.2,22.25,0,69.46,21.19,2.21,46.3,0,0,73.08,1.94,88.65,0,21.6,0,13.3,1627.77,9.6,0,30.26,81.42,0,63.19,0,0,0,2.08
서울특별시,영등포구,0,0,5.63,1.76,3.53,2.82,6.71,99.61,99.57,26.6,35.76,0,80.13,26.67,2.62,45.7,0,0,78.86,1.91,87.32,0,16.2,99.61,8.4,1823.62,15.4,2.9,40.32,92.47,0,56.42,0,0,0,1.54
서울특별시,동작구,0,0,5.68,1.23,5.44,4.03,33.4,0,0,14.9,13.74,0,79.39,9.74,0.66,62.7,0,0,80.91,1.83,93.7,0,0,0,5.6,11071.42,7.1,0,30.73,99.04,0,53.93,0,0,0,1.4
서울특별시,관악구,0,0,5.26,1.5,7.04,4.83,15.21,99.71,0,14.1,46.83,0,83.83,36.08,0.6,51.2,0,0,86.94,2.01,97.08,0,19.1,0,9.2,4571.66,0,2.2,25.6,99.29,0,56.03,0,0,0,1.87
서울특별시,서초구,0,0,4.35,1.84,8.69,2.83,12.51,0,0,22.3,56.9,0,58.5,23.94,5.8,42.1,0,0,67.84,2.38,78.43,0,11.7,0,2.3,3786.74,8.7,5.2,54.94,75.88,0,45.71,0,0,0,0.97
서울특별시,강남구,0,0,4.86,1.47,5.81,2.62,8.84,0,0,23.6,34.51,0,54.08,29.09,7.15,0,0,0,73.49,1.92,84.07,0,0,0,2.8,7574.14,0,5.2,69.67,89.02,0,49.67,0,0,0,1.19
서울특별시,송파구,0,0,4.74,1.46,5.3,4.17,7.68,0,0,21.6,31.1,0,76.31,20.46,2.91,63.9,0,0,82.76,1.95,93.18,0,13.9,0,5.8,2895.37,10.3,3.1,42.68,86.58,0,64.21,0,0,0,1.27
서울특별시,강동구,0,0,6.02,1.75,9.65,3.2,13.27,0,0,15.9,44.43,0,81.27,32.16,3.42,48.9,0,0,89.01,1.77,95.88,0,13.7,0,8.3,6947.22,12.9,2.8,36.11,94.42,0,71.53,0,0,0,1.32
부산광역시,중구,0,0,14.08,0.68,2.44,10.34,53.43,0,0,42.7,8.8,0,97.6,26.25,16.2,38.9,0,0,26.87,1.04,90.34,0,23.9,0,4.8,4.77,42.4,16.9,30.5,100,0,85.76,0,0,0,4.64
부산광역시,서구,0,0,13.28,1.66,5.44,9.53,71.51,0,0,38.3,27.29,0,59.45,8.27,10.2,54.2,0,0,8.42,2.27,69.1,0,0,0,15.7,197.3,50.2,6.5,23.05,88.36,0,56.55,0,0,0,2.83
부산광역시,동구,0,0,14.06,1.67,3.29,11.78,45.09,0,0,47.8,26.66,0,67.28,19.88,11.55,58.8,0,0,5.32,1.76,74.84,0,13.7,0,7.9,29.34,33.6,11.2,21.42,91.02,0,52.47,0,0,0,2.94
부산광역시,영도구,0,0,14.59,1.36,6.52,15.57,6.6,0,0,39.3,13.54,0,57.3,21.06,10.91,62.1,0,0,21.13,1.66,91.38,0,17.8,0,6.9,197.97,17.1,7.1,17.16,96.65,0,62.38,0,0,0,3.67
부산광역시,부산진구,0,0,9.46,1.22,7.01,9.54,5.75,0,0,27.1,46.37,99.8,45.94,15.2,10.93,0,0,0,32.97,1.66,88.86,0,13.9,0,3.4,88.41,0,3.1,25.49,85.44,0,54.41,0,0,0,2.46
부산광역시,동래구,0,0,8.72,1.43,9.49,7.13,36.9,0,0,27.7,35.48,0,80.67,34.94,6.5,62.6,0,0,57.03,1.8,87.93,0,12.1,0,5.9,120.88,22.4,0,28.31,96.49,0,62.95,0,0,0,1.69
