sido,sigungu,safety_center_serve,pollution_emission,aged_single_ratio,police_station_acb,high_trans_acb,high_ic_acb,sports_fac_popratio,perf_fac_popratio,aged_service_popratio,old_house_ratio,green_space_rate,road_pavement_rate,library_service_popratio,hospital_service_popratio,vacant_house_ratio,wg_ph_spentratio,water_supply_rate,cworks_pctg,living_park_popratio,firestation_acb,toddlers_care_popratio,population_growth_rate,childecare_per_infant_number,emergency_fac_popratio,socialwelfare_fac_per_hndrdth_number,park_per_thousand_area,beds_peer_thousand_number,cultural_infra_per_hndrdth_number,fin_indep_3year_mean,parking_popratio,kb_industry_3year_mean,elem_school_popratio,no_bsns_3year_growth_rate,no_emp_3year_growth_rate,sewer_coverage_rate,schoools_per_thousand_number
경상북도,고령군,16485,16975,14.9,5.3,39.8,8.1,13.5,54.4,17.3,36.2,80.3,96.8,12.6,7.8,13.5,18.1,92,71.8,11.4,8.4,34.8,-1.5,14.8,54.5,23.4,54606,9.6,14.8,21.3,34.7,0.38,47.5,4.5,5.1,60.3,6.6
경상북도,성주군,22336,14314,15.3,5.6,30.8,9.8,6,68.7,2.1,35.8,61.3,92.4,4.4,12.9,11.4,15.1,71.8,71.8,17.9,11.1,41.8,-2.2,11.6,63.5,22.1,18307,22,8.9,20,15.5,0.64,22.3,6.1,7.4,37.3,8.2
경상북도,칠곡군,23766,38146,6.3,4.9,25.2,6.4,14.4,97,74.3,15.5,86.8,90.5,6.6,3,11.3,28.3,91.5,68.3,40.9,6.4,91.5,0.8,18.8,55.4,25.2,40998,15.5,5.8,31.3,51.1,0.88,30.8,4.4,4.1,76,2.6
경상북도,예천군,17758,19799,19.6,5.5,78.6,15.7,4.2,78.4,47.6,38.6,62.1,87.4,6.2,8.7,21.3,17.6,80.8,52.7,19.8,10.5,79.6,-3,14.7,45.9,10.8,29544,13.1,12.2,14.5,13.8,0.35,12.6,1.3,1.7,53,4.5
경상북도,봉화군,10948,8410,19.6,8.2,123.3,39.9,15.5,51.3,32.7,46.9,76.6,76.7,12.5,6.5,14.3,15.1,63.9,57.2,17.9,10.7,33.5,-3.2,10.9,2.2,17.9,64309,7.9,12,13.1,33,0.41,30.3,1.4,-0.1,61.8,10.4
경상북도,울진군,12509,6519,17.1,7.1,102.9,53.3,5.3,80.4,0,44.8,70.4,84.9,11.1,5.5,17.5,18.3,68.9,58.5,13,11.6,51.1,-1.9,12.4,47.7,7.7,64555,7.4,13.7,25,52.1,0.29,29.9,0.9,1.6,66.3,6
경상북도,울릉군,9832,20359,9.8,4,0,0,20.3,80,67.4,63.9,86.8,84.2,21.8,0,4.9,9.7,84.9,47.7,0,14.3,6.6,-3,3.8,80,20,25679,6.3,40.1,16.5,45.9,0.35,24.8,4,-1,1.7,15.1
경상남도,진주시,69197,31900,8.1,5.7,15.5,8,6.6,97.4,90.5,23.1,89.8,89.3,11.2,17.5,6.7,24.8,99.9,53.7,47.8,9.7,88.1,0.6,17.2,93.3,7.8,34789,17.7,4.6,43,37.4,0.56,60.7,2,3.7,91.9,2.1
경상남도,통영시,33430,28837,9.1,5.2,55.9,6.9,14.9,93.5,80.7,25.6,66.7,100,15.3,25,10.1,25.7,98.5,52.5,43.9,6.4,84.2,-0.1,17.8,89,8.7,51627,15.9,10.3,23.6,56.6,0.36,42.7,1.5,3.2,82.7,2.3
경상남도,사천시,28472,31143,11.4,4.6,21.9,9.6,25.5,92.6,0,23.8,73,93.8,10,17.5,12.2,26.9,95.6,62.1,50.5,7.1,83.2,-0.6,19.8,45.8,16.5,33926,25.5,6.1,26.9,13.6,1.31,32.5,1.4,2.2,93.6,3
경상남도,김해시,48516,75037,4.9,3.7,11.3,5.1,17.1,93.5,67,7.2,78.2,100,4.6,32.2,6.5,30.7,97.7,68.1,84.6,4.1,95.8,3.4,21.1,87.5,4.9,25024,20.9,4.3,42.7,33.4,0.68,65.4,3.3,2.1,96.6,1.5
경상남도,밀양시,21349,16870,15.7,6.3,16.2,11.8,7.4,84.4,0.3,30.8,74,91,9.3,27.1,12.4,21.3,79.2,60.6,45,9.6,67.6,-1.4,17,65.6,20.3,19919,22.6,10.2,21.6,36.9,0.5,18.6,2,3.5,73.1,4.4
경상남도,거제시,41753,91026,4.2,6.6,63.2,26.7,16.2,92.1,1.1,14.8,64,99.2,17.2,9.2,14.2,29.4,96.9,76.1,41.7,8,81.1,2.1,15.3,89,4.7,43044,9.4,5.5,38.9,22.7,0.47,50.9,3.4,2,85.9,1.9
경상남도,양산시,58107,40967,5.9,6.1,21.8,9,9.7,84.6,94.4,4.8,85.4,99.3,5,11.9,10.1,29,96.9,67.1,75.3,7.3,95.3,4.1,17.7,97.9,9.2,20092,21.3,3.5,40.8,41,0.79,52.1,5.8,5.7,96.5,1.5
경상남도,창원시,45809,96274,6.1,3.4,12.6,10.1,16.5,93.9,94.3,18.8,74.4,95.7,11.6,79.2,7.6,33.2,98.2,65.1,75.8,4.3,91.5,1.6,18.6,89.7,6.9,23410,18.6,3.4,43.4,66.5,0.75,55.8,2,1.9,96.3,1.8
경상남도,의령군,13834,11309,24.2,6,36.3,17.4,15.3,65.1,10.8,46.2,80.2,62.8,12.7,9.2,17.6,17.1,68.9,62.9,11.8,9.5,52.8,-2.8,13.8,51.6,35.6,160144,22.3,18,21.7,44,0.28,52.3,0.5,1.6,63.2,11.5
경상남도,함안군,22342,51845,13.8,4.4,21.9,6.3,11.6,81.1,7.7,28.3,69.3,77,5.5,2.8,12.3,23.3,92.8,75.3,19.1,6.6,73,-0.9,21.7,76.7,21.8,31753,17.8,7.3,27.5,23.8,0.81,38.7,5,4.6,52.9,4.1
경상남도,창녕군,21132,25330,17.7,5.5,36,7.8,14.1,56,45.4,40,79.9,97.9,13.2,3.9,14.1,23,99.2,63.8,23.3,7.9,60.6,-2,11.7,39.6,15.6,102647,35.1,12.5,20.4,28.3,0.46,39.2,4.2,4.9,69.2,7
경상남도,고성군,17748,105127,17.4,6.1,33.3,10.5,15.5,84.5,45,37.6,56.5,74.5,9.5,14.8,16.1,15.1,79.4,60.3,13.3,8.9,63.8,-1.8,14.3,64.4,25.6,29872,20.1,16.7,23.9,18.5,0.39,18.8,-0.2,-2.4,59.2,6.6
경상남도,남해군,21995,12280,22.7,5.6,52.2,32,19.9,55.1,0,43.6,87.7,93.9,7.4,2.1,18.9,20.8,66.1,44.1,7.8,9.3,43.1,-2.5,14.8,52.3,17.7,68245,6.5,11.2,18.7,36.8,0.36,18.6,1.9,1.5,74.9,9.6
경상남도,하동군,15844,46064,18.5,5.9,35.9,15.9,5.6,53.1,0,40.9,39.1,87,3.2,0.9,13,19.2,54,54.4,5.1,12.8,30.5,-2.5,12.6,26.8,14.1,80923,14.4,14.3,17.7,31.6,0.3,9.1,3.5,2.9,70.1,8.6
경상남도,산청군,17976,10504,20.2,7.3,39.3,11,14.4,82.4,7.8,37.7,61.5,80.7,2.7,0,17.4,17.5,46.7,56.2,2.4,11.8,41,-2.6,12.4,29.5,38.8,50430,1,27.5,16.4,10.8,0.48,30.2,8,7.9,64,9.7
경상남도,함양군,13348,12387,21,5.4,49.6,9.5,13.8,63.4,1,36.4,82.1,83.2,17.1,16.2,16.1,16.3,62.2,52.3,4.9,9.9,50.2,-2.5,13.3,61,27.3,39816,2.6,10,16.3,32.9,0.49,34.1,1.4,2,76.1,6.7
경상남도,거창군,31228,15017,17.1,6.3,63.9,13.3,8.4,73.1,58.5,36.3,79.6,85.8,15.7,15.5,15.5,19.3,74.9,53.7,41.9,10.1,74.5,-1.8,14.9,73.8,15.8,18671,12.6,8,22,48.3,0.57,32.3,1.3,3.9,81,5
경상남도,합천군,22958,10611,24.5,7,53.4,20,12.1,59.1,0.2,52.2,84.2,77.8,3.5,12.7,19.2,17.5,49.3,56.6,0.7,14.3,41.8,-3.1,12.2,35.6,22.9,13323,18.5,12.8,17.8,24.9,0.36,13,-2.2,-0.2,58.2,11.5
제주특별자치도,제주시,40496,52103,5.7,5.3,0,30.2,7.9,98.9,64.2,19.1,79.8,100,5.6,3.7,11.7,0,100,57,51.1,6,77.3,1.5,NA,82.4,14.9,14884,9,13.2,44.5,1.1,0.64,47.4,4,4.5,92.2,1.8
제주특별자치도,서귀포시,18125,20024,7.4,5.3,0,30.2,11.9,99.7,43.2,24.7,85.4,99.3,18,6.3,16,0,100,52.9,33,5,66.5,-0.1,NA,49.7,16.4,16417,3.1,35.3,44.5,12.8,0.5,26.6,3,4.2,93,3.4
